0,Harry Potter,160,219,111,251,160,219,111,419
1,Hermione Granger,256,176,104,145,121,258,87,188
2,Ron Weasley,239,134,163,222,117,265,72,155
3,Albus Dumbledore,193,191,94,169,170,249,96,286
4,Rubeus Hagrid,99,62,47,72,37,120,33,92
5,Voldemort,67,63,45,63,56,93,40,103
6,Severus Snape,35,61,39,39,51,47,29,85
7,Remus Lupin,64,63,23,35,45,71,37,75
8,Horace Slughorn,33,55,19,39,45,58,32,67
9,Minerva McGonagall,26,42,21,32,34,32,26,76
10,Draco Malfoy,16,32,18,23,19,28,13,42
11,Neville Longbottom,31,23,14,25,15,35,14,20
12,Alastor Moody,31,25,25,32,21,39,12,32
13,Sirius Black,32,24,19,30,20,40,9,26
14,Arthur Weasley,31,25,7,15,17,40,17,29
15,Vernon Dursley,15,19,20,13,12,15,8,18
16,Cornelius Fudge,22,16,10,21,12,18,12,21
17,Fred Weasley,12,17,6,8,11,10,7,20
18,Bellatrix Lestrange,11,13,22,21,7,18,5,18
19,Dolores Umbridge,18,25,13,23,14,14,9,35
20,Dobby,53,19,20,28,11,50,10,40
21,Ginny Weasley,18,11,4,11,12,23,9,15
22,Molly Weasley,19,20,5,6,14,21,13,14
23,Lucius Malfoy,11,19,19,14,11,18,9,35
24,Gilderoy Lockhart,25,33,14,25,23,27,15,28
25,Luna Lovegood,16,13,5,8,9,23,3,13
26,George Weasley,8,9,8,9,6,12,3,12
27,Petunia Dursley,6,12,6,4,15,14,9,15
28,Argus Filch,6,7,7,13,6,12,3,12
29,Seamus Finnigan,8,6,4,5,6,7,5,5
