0,Albus Dumbledore,i should have known that you would be here...professor mcgonagall.
1,Minerva McGonagall,good evening professor dumbledore.
2,Minerva McGonagall,are the rumours true albus?
3,Albus Dumbledore,i'm afraid so professor.
4,Albus Dumbledore,the good and the bad.
5,Minerva McGonagall,and the boy?
6,Albus Dumbledore,hagrid is bringing him.
7,Minerva McGonagall,do you think it wise to trust hagrid with something as important as this?
8,Albus Dumbledore,ah professor i would trust hagrid with my life.
9,Rubeus Hagrid,professor dumbledore sir.
10,Rubeus Hagrid,professor mcgonagall.
11,Albus Dumbledore,no problems i trust hagrid?
12,Rubeus Hagrid,no sir.
13,Rubeus Hagrid,little tyke fell asleep just as we were flying over bristol.
14,Rubeus Hagrid,heh.
15,Rubeus Hagrid,try not to wake him.
16,Rubeus Hagrid,there you go.
17,Minerva McGonagall,albus do you really think it's safe leaving him with these people?
18,Minerva McGonagall,i've watched them all day.
19,Minerva McGonagall,they're the worst sort of muggles imaginable.
20,Minerva McGonagall,they really are...
21,Albus Dumbledore,the only family he has.
22,Minerva McGonagall,this boy will be famous.
23,Minerva McGonagall,there won't be a child in our world who doesn't know his name.
24,Albus Dumbledore,exactly.
25,Albus Dumbledore,he's better off growing up away from all that.
26,Albus Dumbledore,until he is ready.
27,Albus Dumbledore,there there hagrid.
28,Albus Dumbledore,it's not really goodbye after all.
29,Albus Dumbledore,good luck...harry potter.
30,Petunia Dursley,up.
31,Petunia Dursley,get up.
32,Petunia Dursley,now!
33,Dudley Dursley,wake up cousin!
34,Dudley Dursley,we're going to the zoo!
35,Petunia Dursley,oh here he comes the birthday boy!
36,Vernon Dursley,happy birthday son.
37,Petunia Dursley,why don't you just cook the breakfast and try not to burn anything.
38,Harry Potter,yes aunt petunia.
39,Petunia Dursley,i want everything to be perfect for my dudley's special day.
40,Vernon Dursley,hurry up!
41,Vernon Dursley,bring my coffee boy!
42,Harry Potter,yes uncle vernon.
43,Petunia Dursley,aren’t they wonderful darling?
44,Dudley Dursley,how many are there?
45,Vernon Dursley,thirty-six.
46,Vernon Dursley,counted 'em myself.
47,Dudley Dursley,thirty-six?!
48,Dudley Dursley,but last year last year i had thirty-seven!
50,Vernon Dursley,err yes well some of them are quite a bit bigger than last year.
51,Dudley Dursley,i don't care how big they are!
52,Petunia Dursley,oh now now now.
